crc_errors,device_errors,packet_loss,packets,success_rate,gateway_health,score,prediction
0,0,0,1,100.0,100,-0.004779982424909512,-1
0,0,0,2,100.0,100,0.03771027735152632,1
0,0,0,3,100.0,100,0.05268103379370115,1
0,0,0,4,100.0,100,0.058668262410688565,1
0,0,0,5,100.0,100,0.07334320364928676,1
0,0,0,6,100.0,100,0.0831199352751047,1
0,0,0,7,100.0,100,0.08670963116663744,1
0,0,0,8,100.0,100,0.08718681641789727,1
0,0,0,9,100.0,100,0.09412266576078177,1
0,0,0,10,100.0,100,0.09012912773504561,1
0,0,0,11,100.0,100,0.09181275759254509,1
0,0,0,12,100.0,100,0.08608724391208816,1
0,0,0,13,100.0,100,0.07436133841584841,1
0,0,0,14,100.0,100,0.056032476881364646,1
0,0,0,15,100.0,100,0.03883173210265545,1
1,0,0,16,100.0,99,-0.07389648061583343,-1
1,0,1,17,94.11764705882352,98,0.008667637729583899,1
1,0,1,18,94.44444444444444,98,0.03914512097082068,1
1,0,1,19,94.73684210526315,98,0.04309574248363357,1
1,0,1,20,95.0,98,0.028506614298920874,1
1,1,1,21,95.23809523809523,97,0.02675355965311632,1
1,1,1,22,95.45454545454545,97,0.03017554396811928,1
2,1,1,23,95.65217391304348,96,0.0,1
2,1,2,24,91.66666666666666,95,0.036868249023015665,1
2,1,2,25,92.0,95,0.05937411713097707,1
2,1,2,26,92.3076923076923,95,0.06446268071765104,1
2,1,2,27,92.5925925925926,95,0.054708360475457796,1
2,2,2,28,92.85714285714286,94,0.030725819344227023,1
3,2,2,29,93.10344827586206,93,0.027167270517542308,1
3,2,3,30,90.0,92,0.06949822803989414,1
3,2,3,31,90.32258064516128,92,0.08933148002466812,1
3,2,3,32,90.625,92,0.08466075762803404,1
3,2,3,33,90.9090909090909,92,0.07553108019181931,1
4,2,3,34,91.17647058823529,91,0.0398081182794372,1
4,2,4,35,88.57142857142857,90,0.06625572517118566,1
4,2,4,36,88.88888888888889,90,0.08711445845149574,1
4,2,4,37,89.1891891891892,90,0.08588456236771858,1
4,2,4,38,89.47368421052632,90,0.07671679600299369,1
5,2,4,39,89.74358974358975,89,0.05725189943018616,1
5,2,5,40,87.5,88,0.07868795652347171,1
5,2,5,41,87.8048780487805,88,0.09522093972276824,1
5,2,5,42,88.09523809523809,88,0.09805546728997394,1
5,2,5,43,88.37209302325581,88,0.0999179764711478,1
5,2,5,44,88.63636363636364,88,0.09280147710307779,1
6,2,5,45,88.88888888888889,87,0.04790606533508168,1
6,2,6,46,86.95652173913044,86,0.08181612711876102,1
6,2,6,47,87.2340425531915,86,0.09370094235311593,1
6,2,6,48,87.5,86,0.09290858992988965,1
6,2,6,49,87.75510204081633,86,0.08308485405938232,1
7,2,6,50,88.0,85,0.05724174592780107,1
7,2,7,51,86.27450980392157,84,0.0700037343262716,1
7,2,7,52,86.53846153846155,84,0.08469078987006362,1
7,2,7,53,86.79245283018868,84,0.08426424071252525,1
7,2,7,54,87.03703703703704,84,0.08649137639138527,1
7,2,7,55,87.27272727272727,84,0.07863354720390281,1
8,2,7,56,87.5,83,0.017945309183104108,1
8,2,8,57,85.96491228070175,82,0.00030818035908308783,1
9,2,8,58,86.20689655172413,81,-0.016520235350671042,-1
9,2,9,59,84.7457627118644,80,-0.052033661916604634,-1
10,2,9,60,85.0,79,-0.06921166521223032,-1
10,2,10,61,83.60655737704919,78,-0.13668185519141118,-1
